month,year,x,date
11,1984,1816.77395,11/1/1984
8,1985,2445.390582,8/1/1985
9,1986,2202.830837,9/1/1986
8,1987,2684.930229,8/1/1987
8,1988,2965.817088,8/1/1988
8,1989,3208.497807,8/1/1989
8,1990,3298.662396,8/1/1990
8,1991,2412.220914,8/1/1991
8,1992,2504.324446,8/1/1992
9,1993,1890.961479,9/1/1993
9,1994,1705.182306,9/1/1994
10,1995,2575.165628,10/1/1995
7,1996,2264.88409,7/1/1996
9,1996,2229.905644,9/1/1996
6,1997,1678.902066,6/1/1997
8,1997,2142.826264,8/1/1997
8,1998,1971.992599,8/1/1998
8,1999,3559.085353,8/1/1999
7,2000,1963.903566,7/1/2000
8,2001,2300.339624,8/1/2001
8,2002,3494.881925,8/1/2002
8,2003,1456.11969,8/1/2003
11,2003,1375.399325,11/1/2003
8,2004,2752.96295,8/1/2004
9,2005,2157.06276,9/1/2005
9,2006,4028.62249,9/1/2006
8,2007,3953.365565,8/1/2007
8,2008,4180.024931,8/1/2008
7,2009,1648.555633,7/1/2009
8,2010,2066.214681,8/1/2010
8,2011,3220.233726,8/1/2011
